Uniform,Normal,Exponential,Cauchy,Uniform,Normal,Exponential,Cauchy
99,107,95,109,"2,90361342380515",5,"1,89678817567688","5,61429061252007"
115,106,102,91,"6,90013258095302","4,78556347273915","3,75975790488486",1
98,107,94,95,"2,65716436534447",5,"1,73329531840983","1,95781914741334"
94,107,96,109,"1,86225399762949",5,"2,18363972229309","5,54994055220135"
118,107,92,109,"7,68878036281898",5,"1,34046502126655","5,50509951870086"
102,107,93,107,"3,87040618420451",5,"1,44945631778169","5,00537494766799"
104,107,98,108,"4,30787641778825",5,"2,67427785553869","5,17946174227715"
91,107,91,106,"1,10684983190381",5,"1,06445107455851","4,63850150194741"
107,107,94,112,"5,03939748942969",5,"1,68476644711139","6,36186925621404"
105,107,95,109,"4,43293394029896",5,"2,12206866750099","5,45921951984544"
101,107,96,111,"3,52991870486118",5,"2,15023957320445","5,87921309659409"
118,107,103,91,"7,80304996323585",5,"3,88196706805869",1
116,107,93,111,"7,22803462063145",5,"1,5591391675972","5,92207278299607"
122,98,96,106,"8,69986410757834","2,79709938108834","2,27479908379207","4,81421323014321"
106,107,92,116,"4,745543530053",5,"1,16129748228569","7,30194896116529"
113,106,92,103,"6,41058759109396","4,76641763386499","1,28251876163347","3,88020219635853"
116,107,95,114,"7,27103200613045",5,"1,95985094961005","6,67207433009006"
119,107,93,101,"8,06201935351001",5,"1,46758113477951","3,53971031945277"
113,107,97,91,"6,50292579223529",5,"2,42056064307577",1
92,107,92,100,"1,13088231299608",5,"1,15154353104533","3,36337698500716"
123,107,91,115,"9,10366839714914",5,"1,07634741396692","6,95475091974527"
110,107,93,111,"5,67790698730122",5,"1,61313939908031","5,98933487467202"
119,105,100,111,"7,92990942402803","4,4462947057264","3,28180235184595","5,93508361538348"
104,105,96,91,"4,16860906578235","4,38409787709682","2,21531469028484",1
116,107,92,127,"7,25508279737892",5,"1,23796931169609",10
97,107,94,109,"2,39759399461267",5,"1,64273092834653","5,39162203598115"
121,104,100,113,"8,51587069459658","4,21876722839818","3,17575875527207","6,37687074097876"
103,92,92,110,"3,95934089413381","1,34290301744538","1,21098618327525","5,77002333444345"
108,103,95,109,"5,22796648966144","4,10213714139469","1,9993689934564","5,59707515171071"
109,107,91,107,"5,6130278430164",5,"1,05970340998488","5,04175145215206"
102,107,101,116,"3,6899664899377",5,"3,44233395913196","7,27697769694625"
124,107,91,91,"9,19144479078389",5,"1,08182822705468",1
98,107,93,106,"2,75346545627421",5,"1,3938898374238","4,87045936566739"
100,107,91,127,"3,28525127350342",5,"1,05896883109587","9,99980783967383"
110,107,101,99,"5,8123517911818",5,"3,49182454810112","3,09909510915671"
101,99,93,110,"3,47552033334782","2,98396614439833","1,62167395502339","5,69827562647061"
98,107,91,108,"2,85923526237627",5,"1,05715116729776","5,20422972525412"
116,100,103,108,"7,35166210245182","3,16904889328136","4,08916720713582","5,2907217814768"
104,107,92,113,"4,20252793165464",5,"1,14408100215607","6,38723162482493"
94,107,97,110,"1,7779983728602",5,"2,43397682111311","5,77392731847429"
108,104,91,91,"5,21912292132642","4,33826206367793","1,06243512004613",1
115,107,98,108,"6,95747977497166",5,"2,81481790598881","5,2514355679001"
107,104,92,107,"4,93560763500525","4,20484194003789","1,35958131416072","4,97979205769336"
106,107,96,91,"4,66862569253536",5,"2,24825989637119",1
97,104,93,112,"2,52271616630625","4,20906838651605","1,47780447464253","6,18743369168845"
119,102,92,110,"8,04077098770182","3,66882324935748","1,3593479471339","5,75833818788208"
98,93,94,91,"2,85610135491387","1,43382985692132","1,76590978990829",1
116,105,96,105,"7,36432113532613","4,56315309570859","2,13577682447335","4,5776534417405"
104,107,91,122,"4,33746816930805",5,"1,0245384932203","8,69359792951492"
108,107,94,107,"5,34158622369763",5,"1,85908024990284","5,03866994733032"
118,107,92,111,"7,86629733791153",5,"1,33858959948991","6,01970025076902"
118,107,91,124,"7,73317819579514",5,"1,09094143314356","9,30669489704435"
121,107,92,108,"8,61484412400964","4,92153631963827","1,14400752467917","5,32834646624322"
107,100,101,103,"4,92409959730663","3,37468975422948","3,61783326231184","4,03581729673641"
119,107,95,111,"7,88036824711303",5,"1,981334584781","6,09817219802236"
98,107,96,110,"2,7160424735945",5,"2,36313298443203","5,68673059010359"
124,100,92,127,"9,29212086271349","3,26755393919475","1,23967008125268",10
109,107,93,106,"5,53237943558175",5,"1,3909777755759","4,81042204144847"
108,100,92,127,"5,12708053133166","3,34556879776262","1,24929760608229",10
102,107,96,95,"3,69610843930125",5,"2,1606877136599","2,10083157573127"
101,107,96,104,"3,46057773962402","4,99533647685135","2,20480067205034","4,25469294011545"
100,107,92,91,"3,32481833932645",5,"1,34654323641915",1
106,104,91,112,"4,71199708550786","4,20850363836216","1,07736050267964","6,34988427615847"
100,107,98,96,"3,27936300125056",5,"2,72968237062402","2,3500464360387"
96,107,92,114,"2,31388266228506",5,"1,35403723120123","6,63436348787344"
102,104,95,110,"3,78554772252803","4,28481388863479","1,98401672158468","5,6512994088557"
102,107,94,114,"3,84539073407017",5,"1,81229606016227","6,77940267878031"
97,107,99,91,"2,50063193454117",5,"3,04844155852033",1
107,97,98,105,"4,93999461855917","2,42513781896644","2,67960657448195","4,55248365765316"
114,107,95,109,"6,72402852139579",5,"1,96839383810557","5,51360711739156"
109,98,97,112,"5,53084432154419","2,69579660195003","2,40883472592667","6,25323268051938"
91,107,95,118,"1,02386173703744",5,"1,93473398435225","7,64339566434446"
114,103,94,113,"6,73007598633135","4,08287062736478","1,65888280950038","6,58512780028628"
94,107,105,106,"1,68542406272923",5,"4,47424333980693","4,67064191039676"
102,91,93,112,"3,71608412032902",1,"1,39886421120087","6,14653090647998"
116,107,92,106,"7,35138693515045",5,"1,32627936532167","4,84377750422219"
101,107,93,106,"3,46190686162144",5,"1,39760152500702","4,86191091151935"
107,107,91,113,"5,04205941159531",5,"1,09260153489787","6,48147004619784"
113,107,92,121,"6,50806728515299",5,"1,33578693490912","8,58536765785217"
100,105,94,116,"3,34480808081579","4,52669814675948","1,74648346516635","7,2478687380307"
101,100,98,105,"3,48644036405353","3,21094387155757","2,77914022042787","4,4485322807351"
102,99,93,108,"3,71937826393457","2,8982913217809","1,56819849305661","5,2693964134182"
113,107,91,100,"6,38490204421592",5,"1,10995471859916","3,20905266365362"
115,96,93,113,"6,92814072356221","2,24053869780022","1,6175824237403","6,37889698453998"
124,107,97,110,"9,127906718031",5,"2,53149783223518","5,73459653149657"
120,107,97,127,"8,3155897047372","4,90738404839711","2,52633412903749",10
106,105,95,110,"4,83060857307755","4,45060406093484","2,05037908021188","5,76925426071168"
117,100,103,108,"7,45959236042642","3,27673794587684","4,10533041834449","5,30377760091938"
113,107,93,112,"6,52229112833792",5,"1,43679122788558","6,14057130634382"
96,107,95,102,"2,28782534844226",5,"2,05335917727182","3,85719801850401"
94,102,94,127,"1,66193079810938","3,71579425142159","1,84476845718242",10
97,107,96,110,"2,58856727311529",5,"2,37463887998238","5,7741740124852"
108,102,95,103,"5,22984594307135","3,78639474171238","2,01975787553242","4,03512678001786"
120,107,94,127,"8,36969460788695",5,"1,68891828601722",10
113,107,95,104,"6,47351848914321",5,"1,92260966068906","4,23881339575043"
117,107,95,91,"7,55010079234542",5,"1,92460787714016",1
100,104,92,110,"3,32642302584681","4,16112177599997","1,16866512677869","5,76113807887928"
127,103,93,115,"9,90997042498189","3,99226765432565","1,50688504665","7,0815626284103"
125,107,93,117,"9,61416503139125",5,"1,54841176317134","7,54087844428333"
99,107,101,116,"2,975601990094",5,"3,57213327969732","7,14204010007709"
103,98,96,107,"4,11426144215346","2,76150719728943","2,34812773429647","4,9997400025379"
113,107,104,114,"6,43462759496249",5,"4,22690624473648","6,68967782419162"
119,106,94,113,"7,94398437384129","4,73994168926677","1,64221042972938","6,37857194066277"
103,101,95,101,"3,88293092591703","3,38909809331825","2,10607321400532","3,44560592878491"
104,106,92,127,"4,13525861355982","4,82399812544721","1,23319431068195",10
117,107,91,111,"7,43753063085539",5,"1,04402960006147","5,97202945121686"
115,106,95,106,"7,09953832412669","4,75103418890715","1,88707778992958","4,71644345463565"
112,107,91,91,"6,23384868228289",5,"1,08408301391504",1
96,107,106,105,"2,22355786954705",5,"4,70447656036023","4,51847802339242"
125,107,91,91,"9,58145092803034",5,"1,1015473107511",1
101,107,91,103,"3,47538811852101",5,"1,06383572454339","3,91878783528886"
110,104,99,101,"5,76039261163856","4,18806730945313","3,08006111347092","3,60475486700112"
114,107,96,118,"6,82291543452646",5,"2,19441729402096","7,67285568704296"
105,105,99,107,"4,46809535922319","4,505125113135","2,90635267912325","4,97758071901095"
106,107,93,103,"4,67532039415895",5,"1,42156028319389","4,10156508361703"
115,100,93,127,"7,03559810574655","3,35934569629461","1,61422504313191",10
95,107,97,117,"2,09306571455384",5,"2,47069486032689","7,42279975652533"
117,107,91,103,"7,46093571860029",5,"1,03769220981311","4,11410879485717"
106,91,93,109,"4,70570973882897",1,"1,49729478618501","5,51781558010183"
110,101,92,117,"5,70432319738818","3,62381364937641","1,15935293748535","7,40337304628695"
119,107,93,109,"7,90133719636069",5,"1,43322285694663","5,40890835451022"
115,93,96,110,"7,0660481188696","1,38776514794138","2,18395652660818","5,78256139601938"
113,101,92,112,"6,47901162574687","3,48316888419746","1,29879016356159","6,2670721121079"
99,107,92,113,"2,9379944925877",5,"1,35480382413241","6,52905042986111"
105,104,97,127,"4,42639054155518","4,27372867042565","2,49557597853125",10
117,107,92,110,"7,42725431194923",5,"1,31617314228676","5,81691593606456"
107,107,93,120,"5,02053752912703",5,"1,41469450592528","8,21709951619939"
95,107,103,111,"2,01074955528617",5,"3,87704724059148","5,96493536089051"
126,107,105,101,"9,83010140224031",5,"4,44908937019144","3,612964140102"
104,107,92,105,"4,14352872641791",5,"1,17075504633282","4,61298821674602"
112,107,91,97,"6,22408121429664",5,"1,11689834099732","2,6231792689924"
100,107,102,91,"3,35544932707301",5,"3,81356455399031",1
94,107,95,112,"1,73665790641282",5,"2,11300236482","6,24984475182183"
116,107,95,108,"7,27789561378954",5,"2,07518747746352","5,22505417166622"
105,107,98,105,"4,4449205111638","4,89024074746342","2,64263334287826","4,45738717581063"
126,107,99,112,"9,77391792673101",5,"3,02694545813006","6,27692453388302"
98,107,92,110,"2,72222779840407",5,"1,23921939891418","5,81488033656098"
123,107,103,107,"8,967161159858",5,"3,99269024761441","5,00702048442571"
97,100,95,112,"2,59951697988771","3,20713244291689","2,0538040899625","6,1666136972581"
116,94,93,127,"7,26374779360622","1,76489968944399","1,38000571190717",10
106,107,92,111,"4,82474754766234",5,"1,17592350819487","5,94084062404032"
122,107,92,106,"8,84476522791754",5,"1,27089710411801","4,86094713324648"
127,107,97,127,"9,9013435730349",5,"2,55215752884455",10
104,107,94,115,"4,20434362035355",5,"1,63195986073613","7,0158448688962"
118,107,92,112,"7,7024472133902",5,"1,29763350681784","6,36152895520089"
103,99,105,127,"4,02208481743475","2,9160321437835","4,61004179057974",10
104,100,107,103,"4,37483571454328","3,21427010216003","4,950278875346","4,05729985489615"
126,107,98,110,"9,74674468596692",5,"2,62835935600469","5,70681184457845"
102,107,94,91,"3,67808887479026",5,"1,87438299429582",1
122,97,92,105,"8,86575823084991","2,46953237885744","1,36661634164231","4,58675640594513"
94,102,93,119,"1,69561579403399","3,76953134603194","1,38700953141508","8,10028296831921"
112,107,96,110,"6,25771133851953",5,"2,13532228650875","5,6701215041398"
108,107,94,127,"5,13989371590516",5,"1,7256709917817",10
126,107,94,127,"9,66514884228301",5,"1,78316652806419",10
119,107,91,91,"7,96047978542562",5,"1,00230748950725",1
109,107,95,105,"5,58123951727297",5,"1,89779914516089","4,54736635357724"
107,107,96,109,"5,06262843498432",5,"2,26170114094089","5,47860916026033"
117,107,104,91,"7,59482871088851",5,"4,18212992855515",1
113,107,92,107,"6,52092956536271",5,"1,37461527399617","4,91275621453322"
119,107,96,107,"7,91955977811823",5,"2,3674889599435","4,91790344246068"
103,107,101,112,"3,99852074516427",5,"3,40292873197582","6,13868131051016"
122,107,91,101,"8,78422826973047",5,"1,0810785215482","3,5228841961496"
99,107,92,127,"2,97052980838433",5,"1,20209066934365",10
114,99,97,98,"6,75771352432149","3,00246820920071","2,46427632832845","2,66219446934871"
116,105,93,117,"7,33415913069299","4,53104110226867","1,62353194343145","7,46651061758167"
115,107,92,125,"6,89822382494666",5,"1,35048996816939","9,38312058979795"
122,107,92,104,"8,85530158390494",5,"1,12878773885237","4,1948969637928"
117,98,94,106,"7,48966700654367","2,71910411056405","1,70955001554958","4,66952575526829"
95,104,93,117,"1,90530811869648","4,18166507828575","1,50839197325126","7,46761303368266"
122,107,103,110,"8,6385891865133",5,"3,90113799021637","5,77060904837861"
112,107,92,101,"6,23040080981195",5,"1,33507116370601","3,58359283996991"
109,105,91,106,"5,51137595744794","4,60908629925127","1,09284832833196","4,7636186467515"
127,107,94,91,"9,92586946881733",5,"1,7905391384152",1
96,94,98,91,"2,13977168858922","1,65336805316722","2,79972499764732",1
101,107,94,91,"3,5251217889364",5,"1,85289957810654",1
119,107,94,112,"7,98747220086967",5,"1,69775058486699","6,34243411815512"
99,101,92,92,"3,08366836677854","3,57137981878652","1,14360458885591","1,18624107460945"
91,104,93,109,"1,10652332757417","4,281425866778","1,48020448648165","5,38287727948193"
119,106,91,107,"7,95770135280958","4,8223743333242","1,07235643650068","4,91579642045309"
111,99,95,112,"6,11821699634172","3,12117572112148","1,91552964194856","6,26732682723641"
104,107,94,108,"4,22563573658555",5,"1,82121502159198","5,22954244117192"
95,107,98,111,"2,0820501705145",5,"2,75375644719296","5,9423447515778"
114,107,93,109,"6,69380246242703",5,"1,48421064310713","5,4284419657702"
92,107,92,93,"1,31711680929985",5,"1,12510862339367","1,57973303258388"
105,107,93,101,"4,47785445969174",5,"1,55224233211864","3,56988269297184"
123,107,95,124,"9,00330303738903",5,"1,96977416922859","9,25463320734591"
102,107,92,111,"3,84125381686572",5,"1,29953341468533","5,98415389703351"
101,106,94,107,"3,49187584913524","4,79554290222644","1,63749036166803","5,04188355108482"
97,100,93,114,"2,49040522297465","3,23128313366342","1,59853804634919","6,78815574816626"
124,107,99,108,"9,21879812792992",5,"2,9604990551042","5,27084852060077"
107,107,92,112,"4,89795917582738",5,"1,33400471558746","6,34022906236027"
107,105,94,91,"4,96731287360871","4,62062148898397","1,75454167499924",1
114,107,91,127,"6,70007897146967",5,"1,08773510693127",10
112,96,97,107,"6,28975026747895","2,3644192390177","2,56297686383269","5,03456399668111"
120,107,92,110,"8,26625448445692",5,"1,3186780024372","5,87124776213167"
124,105,94,103,"9,22363435220104","4,53185571163108","1,86308576973114","4,03157984781035"
111,107,92,103,"5,97409559839471",5,"1,29855677119816","4,04836385782196"
97,107,96,104,"2,56250038454146","4,94658047564459","2,32704172615127","4,23745999789105"
115,99,96,109,"7,02782782784455","2,98448677222642","2,22324234156158","5,58456092151627"
92,104,111,102,"1,26788811755492","4,24588590140183","5,88734329190151","3,72910608882845"
92,107,99,106,"1,1860199656162",5,"2,93031131992073","4,64460732044168"
101,101,91,107,"3,57361800804445","3,40961030661934","1,03132898448245","5,02027415301214"
115,107,92,106,"7,08543278041174",5,"1,35377158243291","4,86206549116247"
97,107,94,118,"2,42260185358672",5,"1,78072067417233","7,63399595215235"
107,107,93,107,"5,05870713502373",5,"1,46303917125683","5,09474942475371"
98,107,102,91,"2,77107697647455",5,"3,79837093574299",1
124,98,91,110,"9,20622796964445","2,78766058464757","1,09813193851622","5,77129742665405"
100,95,94,107,"3,28277385940139","1,95242606319326","1,85632401147378","5,0933388600595"
95,107,92,127,"2,00976619065467",5,"1,15145329354573",10
122,107,95,127,"8,64978945374811",5,"1,91768492533684",10
127,107,96,111,"9,95783520733715",5,"2,33815583585354","5,97819373259786"
113,105,93,110,"6,54911539761755","4,41406510849701","1,44126845955456","5,84626929340019"
123,107,93,107,"8,94046033953941",5,"1,39495923290096","4,9330645827725"
116,105,92,91,"7,21597616827224","4,45733794261122","1,31863882893336",1
120,107,92,103,"8,29898087529765",5,"1,27772100674846","4,03657060351625"
116,100,93,91,"7,15842575325312","3,25670893147314","1,42137980023105",1
110,104,95,113,"5,81248572521317","4,28413473140271","1,94967477138116","6,62497389613276"
113,107,95,112,"6,61403102707332",5,"1,9338444243098","6,24778256680635"
93,105,104,116,"1,41406125416264","4,48058254897755","4,21618598293252","7,3558047636272"
102,101,94,119,"3,80047661422799","3,46045098621288","1,75631030939406","8,11643317517964"
124,107,91,106,"9,17378963685004",5,"1,03949266314549","4,83126612562582"
118,104,96,108,"7,62961126947969","4,24859497481481","2,28194431478318","5,36148513687542"
121,107,91,115,"8,50366228233062",5,"1,05740363237125","6,91927048298165"
107,107,94,116,"5,05094954910697",5,"1,62698708434853","7,29174254897714"
93,95,101,111,"1,40977602084533","2,02406369048309","3,59905753900413","5,90186336361326"
99,107,97,109,"2,89960704767176","4,93658511851518","2,44330861057517","5,3999476905059"
115,107,100,107,"6,8940855546209",5,"3,15002574847656","4,97610132421568"
93,107,92,127,"1,56768074877349",5,"1,13803211513345",10
95,107,91,116,"1,95742340279148",5,"1,03158767164573","7,14200051882324"
105,106,94,127,"4,43377611277004","4,76290589386987","1,65021446773459",10
122,107,91,106,"8,75606132523226","4,92942003169596","1,00713968296206","4,75673055253709"
98,106,92,112,"2,79351330602289","4,68534524821769","1,1980330047057","6,25334333870479"
105,107,96,107,"4,61724916594134",5,"2,14988614371332","5,10180676459837"
92,107,93,108,"1,33237786874093",5,"1,56247742243261","5,35172999311211"
91,97,96,109,"1,12381523340818","2,5956420599771","2,29686602407955","5,53321734361152"
103,107,91,107,"4,02622260761576",5,"1,0185257703915","4,93690252866703"
121,107,92,109,"8,44351796107267",5,"1,15969531320719","5,45846397796608"
122,107,96,105,"8,8132245674224",5,"2,14063304088391","4,59433322782873"
110,107,95,110,"5,64215156851424",5,"1,88986138187842","5,75977655608972"
121,107,98,127,"8,54818991441891",5,"2,74986916062848",10
95,107,94,109,"1,91672063736506",5,"1,87207600632983","5,51868706083221"
115,104,94,111,"7,05535954081256","4,26937035322978","1,78753588476045","5,94370818798175"
94,91,96,105,"1,86481577659144",1,"2,15093106849001","4,4466924815599"
98,101,100,112,"2,68537976550049","3,38536704338971","3,15965737677444","6,31906292448862"
98,107,93,126,"2,79203645382105",5,"1,58034790457309","9,68590600971417"
125,106,95,114,"9,50954235114105","4,68076390776649","2,00032475611918","6,74399601806166"
107,102,98,116,"5,08667114261239","3,86828573053562","2,67295831062274","7,19734805792674"
112,107,93,117,"6,13219735660668",5,"1,59992584831417","7,50019351839078"
120,106,92,97,"8,16819273554927","4,83615483676632","1,32168112839099","2,53847715404628"
127,107,92,99,"9,92107799805354",5,"1,26930893867144","3,00736844331618"
103,105,92,111,"4,10953369942937","4,39344527302607","1,1909799192496","6,10626714921771"
125,104,92,98,"9,4350978998456","4,23575367357006","1,13612951597514","2,75355243943485"
109,107,101,107,"5,53608236844714",5,"3,53565260722787","5,00197331521584"
124,102,93,127,"9,23902869616242","3,72060604261677","1,38622163440939",10
119,107,103,100,"8,02814881120763",5,"3,89405611118126","3,29173402186374"
100,107,95,112,"3,15950015952964",5,"2,09992280269298","6,2141033898541"
101,107,93,111,"3,59490037684105",5,"1,37557222097624","6,10224447820142"
107,107,91,121,"4,89068796645294",5,"1,07695300296775","8,5179950773062"
94,102,99,109,"1,76783711962298","3,67629425342695","2,90497042968941","5,41371260542171"
95,107,101,108,"2,04023201337322",5,"3,51514771844417","5,26236978926142"
103,105,91,107,"4,05036728601342","4,39713764487795","1,10126912254631","5,11708331800752"
91,107,93,127,"1,03592237083026","4,92553220879799","1,42791670995751",10
102,107,91,127,"3,64772717743576",5,"1,09511341178558",10
110,107,94,119,"5,79537864278558",5,"1,79192653516425","7,90062126297375"
121,103,97,91,"8,41723622064725","4,08433392565155","2,50257127483386",1
119,107,92,127,"7,95573454897073",5,"1,31151035652267",10
123,107,98,114,"8,88406355345601",5,"2,67257013499847","6,65986736144269"
95,107,92,106,"2,10610905435976",5,"1,14316707654268","4,8066241861411"
107,101,94,109,"4,93295227115974","3,57870554042406","1,64840626432005","5,57360309858995"
96,107,94,116,"2,16039461096576",5,"1,70496998334214","7,17246897492726"
110,107,91,112,"5,63251214443204",5,"1,01901978842915","6,31033345955769"
105,107,94,91,"4,46955076199343",5,"1,77544314998843",1
125,102,103,110,"9,60731228441204","3,85107936630023","4,02077198399086","5,64701213369969"
102,107,97,127,"3,81092821172421",5,"2,60767452256953",10
93,107,93,110,"1,47241322463884",5,"1,45470086089073","5,72170982636596"
92,104,99,112,"1,34952712199376","4,12988019432383","2,96055574262491","6,34087179143054"
92,107,92,127,"1,28822606463633",5,"1,33649440025454",10
100,103,95,104,"3,30517449996202","3,89491585213274","1,90525456793849","4,31213763010897"
104,107,100,91,"4,13566523728212",5,"3,13565137081993",1
119,107,93,110,"8,06396558998631",5,"1,45856342230275","5,66771862916777"
95,107,93,109,"2,06118069153036",5,"1,55779811678021","5,43430321023541"
101,91,108,109,"3,50843376397753",1,"5,31436370751973","5,41750901191164"
122,107,96,108,"8,84417726564392",5,"2,31135808032685","5,30152690488299"
113,106,91,108,"6,47548954971969","4,71294018142504","1,10028367277977","5,16439598312954"
123,107,91,103,"8,89256566493825",5,"1,09019552387067","4,03248665132815"
109,100,96,108,"5,41130142518224","3,21236889024501","2,28689895748848","5,15661916529048"
124,99,98,104,"9,20959485885337","3,0713150126826","2,68720137297309","4,27811859432008"
109,107,96,111,"5,5987872258749",5,"2,37201764560725","5,94611534011251"
94,107,114,127,"1,71396301301368",5,"6,73912031578699",10
97,94,93,107,"2,40388267910132","1,86702306869369","1,56873118747442","4,96251550397154"
124,101,92,111,"9,12898916514375","3,56230534082307","1,29226300392521","6,00717838316748"
100,107,100,108,"3,12885809438267",5,"3,26681543868093","5,28658199035177"
118,101,94,100,"7,73835612726607","3,49770342876208","1,82907262198507","3,29330212538431"
125,107,95,114,"9,5125284614359",5,"1,8902467721093","6,67920445828336"
91,102,92,108,"1,11420318717051","3,8459282782422","1,36035852830522","5,18728092395837"
118,107,93,127,"7,82685106668987",5,"1,48303379379472",10
100,92,99,101,"3,33569480362632","1,26937917646926","3,02716249990544","3,57431941892398"
111,103,95,100,"6,04547371604725","4,07050278775182","2,01889584153691","3,3397674840336"
103,107,106,91,"3,94018382573405",5,"4,63093148708938",1
107,103,94,110,"4,95144085441603","4,05867927318864","1,84949478320475","5,66593139836791"
113,107,107,94,"6,59731787608265",5,"5,05818708206223","1,71152991721759"
102,105,94,116,"3,83987777831543","4,54547636396482","1,76972315594603","7,29675828871057"
118,107,91,91,"7,7914813514833",5,"1,07274999210313",1
124,107,95,127,"9,21082116329012",5,"1,88362547625621",10
122,107,92,110,"8,87317674711625",5,"1,26030956337838","5,66469617306936"
109,102,94,109,"5,46652470310127","3,69382933128503","1,74461603563971","5,53451209337162"
106,107,95,111,"4,78462120685809","4,93848657172066","1,97572103528542","6,01952068993199"
101,107,91,108,"3,50941967332706",5,"1,06032282239416","5,34748087105373"
122,102,93,110,"8,6978706363935","3,84235887090131","1,47088148809188","5,81754491980984"
115,107,92,91,"7,05136532682556",5,"1,37379487017212",1
